agent,task,split,diagnostic,metric,n_seeds,mean,std,n_defined_seeds
metacognitive,pick_cup,unseen,collision.brier,value,2,0.07896196643563802,0.008289080923918779,2
metacognitive,pick_cup,unseen,collision.discrimination_auc,value,2,0.9340037721439609,0.03962232633698684,2
metacognitive,pick_cup,unseen,collision.ece,value,2,0.05164964512252205,0.0011146583531744512,2
metacognitive,pick_cup,unseen,collision.high_confidence_failures,value,2,16.0,8.48528137423857,2
metacognitive,pick_cup,unseen,collision.high_confidence_n,value,2,252.0,190.91883092036784,2
metacognitive,pick_cup,unseen,collision.n,value,2,1097.5,198.69700551341987,2
metacognitive,pick_cup,unseen,n,value,2,1097.5,198.69700551341987,2
metacognitive,pick_cup,unseen,phase.brier,value,2,0.058780012611020074,0.05758375373552454,2
metacognitive,pick_cup,unseen,phase.discrimination_auc,value,2,0.8925601202404809,,1
metacognitive,pick_cup,unseen,phase.ece,value,2,0.06037101997321312,0.05254205027523354,2
metacognitive,pick_cup,unseen,phase.high_confidence_failures,value,2,12.0,16.97056274847714,2
metacognitive,pick_cup,unseen,phase.high_confidence_n,value,2,771.0,2.8284271247461903,2
metacognitive,pick_cup,unseen,phase.n,value,2,1097.5,198.69700551341987,2
metacognitive,pick_cup,unseen,prediction_error_mae,value,2,0.11716438482757748,0.005477470468856105,2
metacognitive,pick_cup,unseen,prediction_error_rmse,value,2,0.1469977258526397,0.01053795895069621,2
metacognitive,pick_cup,unseen,raw_collision.brier,value,2,0.08024071169917074,0.0015091204988875121,2
metacognitive,pick_cup,unseen,raw_collision.discrimination_auc,value,2,0.9340037721439609,0.03962232633698684,2
metacognitive,pick_cup,unseen,raw_collision.ece,value,2,0.05969841436552059,0.02404905925562978,2
metacognitive,pick_cup,unseen,raw_collision.high_confidence_failures,value,2,6.0,2.8284271247461903,2
metacognitive,pick_cup,unseen,raw_collision.high_confidence_n,value,2,179.5,187.3832970144351,2
metacognitive,pick_cup,unseen,raw_collision.n,value,2,1097.5,198.69700551341987,2
metacognitive,pick_cup,unseen,raw_phase.brier,value,2,0.058780012611020074,0.05758375373552454,2
metacognitive,pick_cup,unseen,raw_phase.discrimination_auc,value,2,0.8925601202404809,,1
metacognitive,pick_cup,unseen,raw_phase.ece,value,2,0.06037101997321312,0.05254205027523354,2
metacognitive,pick_cup,unseen,raw_phase.high_confidence_failures,value,2,12.0,16.97056274847714,2
metacognitive,pick_cup,unseen,raw_phase.high_confidence_n,value,2,771.0,2.8284271247461903,2
metacognitive,pick_cup,unseen,raw_phase.n,value,2,1097.5,198.69700551341987,2
